SPX (S&P 500 INDEX),2750.79,-16.34
Oct 15 2018 @ 20:00 ET
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
2018 Oct 15 1700.00 (SPXW1815J1700),0.0,0.0,1039.30,1063.00,0,0,2018 Oct 15 1700.00 (SPXW1815V1700),0.15,0.0, ,0.05,0,16
2018 Oct 15 1800.00 (SPXW1815J1800),0.0,0.0,939.40,963.00,0,0,2018 Oct 15 1800.00 (SPXW1815V1800),0.10,0.0, ,0.05,0,461
2018 Oct 15 1850.00 (SPXW1815J1850),0.0,0.0,889.40,913.00,0,0,2018 Oct 15 1850.00 (SPXW1815V1850),0.05,0.0, ,0.05,0,20
2018 Oct 15 1900.00 (SPXW1815J1900),1003.98,0.0,839.40,863.00,0,5,2018 Oct 15 1900.00 (SPXW1815V1900),0.05,0.0, ,0.05,0,3162
2018 Oct 15 1950.00 (SPXW1815J1950),0.0,0.0,789.40,813.00,0,0,2018 Oct 15 1950.00 (SPXW1815V1950),0.25,0.0, ,0.05,0,153
2018 Oct 15 2000.00 (SPXW1815J2000),758.85,-3.50,739.40,763.00,4,350,2018 Oct 15 2000.00 (SPXW1815V2000),0.05,0.0, ,0.05,0,2553
2018 Oct 15 2050.00 (SPXW1815J2050),0.0,0.0,689.40,713.00,0,0,2018 Oct 15 2050.00 (SPXW1815V2050),0.05,0.0, ,0.05,0,1503
2018 Oct 15 2100.00 (SPXW1815J2100),0.0,0.0,639.40,663.00,0,0,2018 Oct 15 2100.00 (SPXW1815V2100),0.05,0.0, ,0.05,0,3988
2018 Oct 15 2150.00 (SPXW1815J2150),0.0,0.0,589.40,613.00,0,0,2018 Oct 15 2150.00 (SPXW1815V2150),0.05,0.0, ,0.05,0,2803
2018 Oct 15 2200.00 (SPXW1815J2200),0.0,0.0,539.40,563.00,0,0,2018 Oct 15 2200.00 (SPXW1815V2200),0.05,0.0, ,0.05,0,2017
2018 Oct 15 2225.00 (SPXW1815J2225),0.0,0.0,514.20,538.00,0,0,2018 Oct 15 2225.00 (SPXW1815V2225),0.05,0.0, ,0.05,0,1280
2018 Oct 15 2250.00 (SPXW1815J2250),0.0,0.0,489.50,513.00,0,0,2018 Oct 15 2250.00 (SPXW1815V2250),0.05,0.0, ,0.05,20,6949
2018 Oct 15 2275.00 (SPXW1815J2275),0.0,0.0,464.40,488.00,0,0,2018 Oct 15 2275.00 (SPXW1815V2275),0.05,0.0, ,0.05,0,1214
2018 Oct 15 2300.00 (SPXW1815J2300),0.0,0.0,439.40,463.00,0,0,2018 Oct 15 2300.00 (SPXW1815V2300),0.05,0.0, ,0.05,0,8998
2018 Oct 15 2320.00 (SPXW1815J2320),0.0,0.0,419.40,443.00,0,0,2018 Oct 15 2320.00 (SPXW1815V2320),0.05,0.0, ,0.05,0,155
2018 Oct 15 2325.00 (SPXW1815J2325),0.0,0.0,414.40,438.00,0,0,2018 Oct 15 2325.00 (SPXW1815V2325),0.05,0.0, ,0.05,0,1665
2018 Oct 15 2330.00 (SPXW1815J2330),0.0,0.0,409.40,433.00,0,0,2018 Oct 15 2330.00 (SPXW1815V2330),0.06,0.0, ,0.05,0,96
2018 Oct 15 2340.00 (SPXW1815J2340),0.0,0.0,399.40,423.00,0,0,2018 Oct 15 2340.00 (SPXW1815V2340),0.10,0.0, ,0.05,0,272
2018 Oct 15 2350.00 (SPXW1815J2350),0.0,0.0,389.40,413.00,0,0,2018 Oct 15 2350.00 (SPXW1815V2350),0.05,-0.05, ,0.05,152,3649
2018 Oct 15 2360.00 (SPXW1815J2360),0.0,0.0,379.40,403.00,0,0,2018 Oct 15 2360.00 (SPXW1815V2360),0.08,0.0, ,0.05,0,198
2018 Oct 15 2370.00 (SPXW1815J2370),0.0,0.0,369.40,393.00,0,0,2018 Oct 15 2370.00 (SPXW1815V2370),0.10,0.0, ,0.05,0,2236
2018 Oct 15 2375.00 (SPXW1815J2375),394.00,+20.95,364.40,388.00,1,4,2018 Oct 15 2375.00 (SPXW1815V2375),0.05,-0.05, ,0.05,6,1426
2018 Oct 15 2380.00 (SPXW1815J2380),0.0,0.0,359.40,383.00,0,0,2018 Oct 15 2380.00 (SPXW1815V2380),0.08,0.0, ,0.05,0,374
2018 Oct 15 2390.00 (SPXW1815J2390),0.0,0.0,349.40,373.00,0,0,2018 Oct 15 2390.00 (SPXW1815V2390),0.10,0.0, ,0.05,0,2331
2018 Oct 15 2400.00 (SPXW1815J2400),368.90,+20.75,339.40,363.00,1,7,2018 Oct 15 2400.00 (SPXW1815V2400),0.05,-0.05, ,0.05,50,18330
2018 Oct 15 2410.00 (SPXW1815J2410),0.0,0.0,329.40,353.00,0,0,2018 Oct 15 2410.00 (SPXW1815V2410),1.05,0.0, ,0.05,0,583
2018 Oct 15 2420.00 (SPXW1815J2420),0.0,0.0,319.40,343.00,0,0,2018 Oct 15 2420.00 (SPXW1815V2420),0.95,0.0, ,0.05,0,598
2018 Oct 15 2425.00 (SPXW1815J2425),323.25,0.0,314.40,338.00,0,3,2018 Oct 15 2425.00 (SPXW1815V2425),0.19,0.0, ,0.05,0,609
2018 Oct 15 2430.00 (SPXW1815J2430),0.0,0.0,309.40,333.00,0,0,2018 Oct 15 2430.00 (SPXW1815V2430),0.15,0.0, ,0.05,0,591
2018 Oct 15 2440.00 (SPXW1815J2440),0.0,0.0,299.40,323.00,0,0,2018 Oct 15 2440.00 (SPXW1815V2440),0.15,0.0, ,0.05,0,2234
2018 Oct 15 2450.00 (SPXW1815J2450),288.95,0.0,289.40,313.00,0,3,2018 Oct 15 2450.00 (SPXW1815V2450),0.10,0.0, ,0.05,0,4260
2018 Oct 15 2460.00 (SPXW1815J2460),290.55,0.0,279.40,303.00,0,10,2018 Oct 15 2460.00 (SPXW1815V2460),0.26,0.0, ,0.05,0,1137
2018 Oct 15 2465.00 (SPXW1815J2465),293.75,+8.00,274.40,298.00,4,20,2018 Oct 15 2465.00 (SPXW1815V2465),0.20,0.0, ,0.05,0,135
2018 Oct 15 2470.00 (SPXW1815J2470),280.45,0.0,269.40,293.00,0,23,2018 Oct 15 2470.00 (SPXW1815V2470),0.25,0.0, ,0.05,0,1933
2018 Oct 15 2475.00 (SPXW1815J2475),275.50,0.0,264.40,288.00,0,23,2018 Oct 15 2475.00 (SPXW1815V2475),0.05,-0.10, ,0.05,511,5065
2018 Oct 15 2480.00 (SPXW1815J2480),270.55,0.0,259.40,283.00,0,13,2018 Oct 15 2480.00 (SPXW1815V2480),0.05,-0.15, ,0.05,322,2601
2018 Oct 15 2485.00 (SPXW1815J2485),265.95,0.0,254.40,278.00,0,40,2018 Oct 15 2485.00 (SPXW1815V2485),0.80,0.0, ,0.05,0,292
2018 Oct 15 2490.00 (SPXW1815J2490),260.70,0.0,249.40,273.00,0,46,2018 Oct 15 2490.00 (SPXW1815V2490),0.30,0.0, ,0.05,0,3059
2018 Oct 15 2495.00 (SPXW1815J2495),255.85,0.0,244.40,268.00,0,40,2018 Oct 15 2495.00 (SPXW1815V2495),2.75,0.0, ,0.05,0,77
2018 Oct 15 2500.00 (SPXW1815J2500),249.40,0.0,239.40,263.00,0,72,2018 Oct 15 2500.00 (SPXW1815V2500),0.05,-0.20, ,0.05,862,17011
2018 Oct 15 2505.00 (SPXW1815J2505),246.15,0.0,234.40,258.00,0,10,2018 Oct 15 2505.00 (SPXW1815V2505),0.30,0.0, ,0.05,0,1538
2018 Oct 15 2510.00 (SPXW1815J2510),241.05,0.0,229.40,253.00,0,23,2018 Oct 15 2510.00 (SPXW1815V2510),0.05,-0.25, ,0.05,5,630
2018 Oct 15 2515.00 (SPXW1815J2515),236.20,0.0,224.40,248.00,0,30,2018 Oct 15 2515.00 (SPXW1815V2515),0.35,0.0, ,0.05,0,63
2018 Oct 15 2520.00 (SPXW1815J2520),231.05,0.0,219.20,243.00,0,25,2018 Oct 15 2520.00 (SPXW1815V2520),0.40,0.0, ,0.05,0,553
2018 Oct 15 2525.00 (SPXW1815J2525),226.70,0.0,214.40,238.00,0,23,2018 Oct 15 2525.00 (SPXW1815V2525),0.05,-0.30, ,0.05,1417,1214
2018 Oct 15 2530.00 (SPXW1815J2530),0.0,0.0,209.40,233.00,0,0,2018 Oct 15 2530.00 (SPXW1815V2530),0.30,0.0, ,0.05,0,1112
2018 Oct 15 2535.00 (SPXW1815J2535),0.0,0.0,203.70,227.50,0,0,2018 Oct 15 2535.00 (SPXW1815V2535),0.45,0.0, ,0.05,0,633
2018 Oct 15 2540.00 (SPXW1815J2540),212.00,0.0,200.50,224.10,0,24,2018 Oct 15 2540.00 (SPXW1815V2540),0.05,-0.20, ,0.05,16,3612
2018 Oct 15 2545.00 (SPXW1815J2545),0.0,0.0,198.00,213.90,0,0,2018 Oct 15 2545.00 (SPXW1815V2545),0.05,-0.25, ,0.05,15,299
2018 Oct 15 2550.00 (SPXW1815J2550),0.0,0.0,192.90,208.50,0,0,2018 Oct 15 2550.00 (SPXW1815V2550),0.05,-0.30, ,0.05,527,11806
2018 Oct 15 2555.00 (SPXW1815J2555),197.20,0.0,188.70,203.90,0,10,2018 Oct 15 2555.00 (SPXW1815V2555),0.35,0.0, ,0.05,0,617
2018 Oct 15 2560.00 (SPXW1815J2560),192.20,0.0,183.30,198.90,0,2,2018 Oct 15 2560.00 (SPXW1815V2560),0.40,0.0, ,0.05,0,172
2018 Oct 15 2565.00 (SPXW1815J2565),210.60,0.0,178.70,193.90,0,10,2018 Oct 15 2565.00 (SPXW1815V2565),0.40,0.0, ,0.05,0,155
2018 Oct 15 2570.00 (SPXW1815J2570),0.0,0.0,173.60,188.50,0,0,2018 Oct 15 2570.00 (SPXW1815V2570),0.05,-0.40, ,0.05,400,166
2018 Oct 15 2575.00 (SPXW1815J2575),186.34,0.0,168.40,183.50,0,150,2018 Oct 15 2575.00 (SPXW1815V2575),0.05,-0.28, ,0.05,996,2775
2018 Oct 15 2580.00 (SPXW1815J2580),0.0,0.0,163.40,178.90,0,0,2018 Oct 15 2580.00 (SPXW1815V2580),0.50,0.0, ,0.05,0,1159
2018 Oct 15 2585.00 (SPXW1815J2585),0.0,0.0,157.70,173.50,0,0,2018 Oct 15 2585.00 (SPXW1815V2585),0.05,-0.35, ,0.05,250,414
2018 Oct 15 2590.00 (SPXW1815J2590),0.0,0.0,153.20,169.00,0,0,2018 Oct 15 2590.00 (SPXW1815V2590),0.05,-0.35, ,0.05,229,560
2018 Oct 15 2595.00 (SPXW1815J2595),0.0,0.0,148.50,163.90,0,0,2018 Oct 15 2595.00 (SPXW1815V2595),0.05,-0.55, ,0.05,727,172
2018 Oct 15 2600.00 (SPXW1815J2600),0.0,0.0,143.70,158.90,0,0,2018 Oct 15 2600.00 (SPXW1815V2600),0.05,-0.45, ,0.05,3683,6758
2018 Oct 15 2605.00 (SPXW1815J2605),0.0,0.0,138.60,153.50,0,0,2018 Oct 15 2605.00 (SPXW1815V2605),0.05,-0.55, ,0.05,592,335
2018 Oct 15 2610.00 (SPXW1815J2610),0.0,0.0,133.00,148.50,0,0,2018 Oct 15 2610.00 (SPXW1815V2610),0.05,-0.59, ,0.05,243,498
2018 Oct 15 2615.00 (SPXW1815J2615),0.0,0.0,127.70,143.50,0,0,2018 Oct 15 2615.00 (SPXW1815V2615),0.05,-0.60, ,0.05,253,920
2018 Oct 15 2620.00 (SPXW1815J2620),0.0,0.0,123.10,138.90,0,0,2018 Oct 15 2620.00 (SPXW1815V2620),0.05,-0.55, ,0.05,353,1068
2018 Oct 15 2625.00 (SPXW1815J2625),135.61,0.0,118.10,133.90,0,50,2018 Oct 15 2625.00 (SPXW1815V2625),0.01,-0.74, ,0.05,2210,4377
2018 Oct 15 2630.00 (SPXW1815J2630),0.0,0.0,113.10,128.90,0,0,2018 Oct 15 2630.00 (SPXW1815V2630),0.05,-1.02, ,0.05,519,2229
2018 Oct 15 2635.00 (SPXW1815J2635),0.0,0.0,108.10,123.90,0,0,2018 Oct 15 2635.00 (SPXW1815V2635),0.05,-0.95, ,0.05,453,1356
2018 Oct 15 2640.00 (SPXW1815J2640),0.0,0.0,103.10,118.90,0,0,2018 Oct 15 2640.00 (SPXW1815V2640),0.05,-0.95, ,0.05,1908,158
2018 Oct 15 2645.00 (SPXW1815J2645),123.90,+17.60,100.50,116.10,13,10,2018 Oct 15 2645.00 (SPXW1815V2645),0.03,-1.07, ,0.05,817,508
2018 Oct 15 2650.00 (SPXW1815J2650),123.52,0.0,96.00,105.40,0,6,2018 Oct 15 2650.00 (SPXW1815V2650),0.05,-1.14, ,0.05,1436,2791
2018 Oct 15 2655.00 (SPXW1815J2655),93.63,0.0,91.00,100.40,0,2,2018 Oct 15 2655.00 (SPXW1815V2655),0.05,-1.25, ,0.05,809,750
2018 Oct 15 2660.00 (SPXW1815J2660),102.65,-11.17,85.70,95.50,2,21,2018 Oct 15 2660.00 (SPXW1815V2660),0.05,-1.65, ,0.05,1722,1158
2018 Oct 15 2665.00 (SPXW1815J2665),103.90,+6.20,80.70,90.50,30,0,2018 Oct 15 2665.00 (SPXW1815V2665),0.05,-1.60, ,0.05,1214,1866
2018 Oct 15 2670.00 (SPXW1815J2670),88.82,+9.07,75.70,85.50,4,16,2018 Oct 15 2670.00 (SPXW1815V2670),0.05,-1.93, ,0.05,5189,7890
2018 Oct 15 2675.00 (SPXW1815J2675),75.40,0.0,70.70,80.50,0,15,2018 Oct 15 2675.00 (SPXW1815V2675),0.05,-1.90, ,0.05,2673,5030
2018 Oct 15 2680.00 (SPXW1815J2680),71.05,0.0,65.70,75.50,0,5,2018 Oct 15 2680.00 (SPXW1815V2680),0.05,-2.50, ,0.05,1725,1354
2018 Oct 15 2685.00 (SPXW1815J2685),83.90,+17.85,60.70,70.50,13,2,2018 Oct 15 2685.00 (SPXW1815V2685),0.05,-2.80, ,0.05,1269,474
2018 Oct 15 2690.00 (SPXW1815J2690),61.10,0.0,55.70,65.50,0,7,2018 Oct 15 2690.00 (SPXW1815V2690),0.05,-2.85, ,0.05,2846,386
2018 Oct 15 2695.00 (SPXW1815J2695),59.00,0.0,50.70,60.50,0,15,2018 Oct 15 2695.00 (SPXW1815V2695),0.05,-3.49, ,0.05,585,252
2018 Oct 15 2700.00 (SPXW1815J2700),62.48,-7.17,45.70,55.50,19,29,2018 Oct 15 2700.00 (SPXW1815V2700),0.05,-3.65, ,0.05,5172,3955
2018 Oct 15 2705.00 (SPXW1815J2705),57.43,-4.57,40.70,50.50,10,5,2018 Oct 15 2705.00 (SPXW1815V2705),0.05,-3.95, ,0.05,1742,425
2018 Oct 15 2710.00 (SPXW1815J2710),52.30,-8.20,35.70,45.50,32,60,2018 Oct 15 2710.00 (SPXW1815V2710),0.05,-4.74, ,0.05,1219,2377
2018 Oct 15 2715.00 (SPXW1815J2715),39.90,-7.05,30.70,40.50,21,74,2018 Oct 15 2715.00 (SPXW1815V2715),0.05,-4.85, ,0.05,10309,1923
2018 Oct 15 2720.00 (SPXW1815J2720),38.10,-4.90,25.70,35.50,22,31,2018 Oct 15 2720.00 (SPXW1815V2720),0.05,-5.60, ,0.05,4049,1483
2018 Oct 15 2725.00 (SPXW1815J2725),46.87,+0.23,20.70,30.50,22,39,2018 Oct 15 2725.00 (SPXW1815V2725),0.05,-6.45, ,0.05,5908,5507
2018 Oct 15 2730.00 (SPXW1815J2730),25.00,-18.20,15.70,25.50,92,83,2018 Oct 15 2730.00 (SPXW1815V2730),0.02,-7.16, ,0.05,4964,498
2018 Oct 15 2735.00 (SPXW1815J2735),21.83,-22.57,11.00,20.40,22,48,2018 Oct 15 2735.00 (SPXW1815V2735),0.05,-8.08, ,0.05,3314,1516
2018 Oct 15 2740.00 (SPXW1815J2740),21.36,-13.72,5.70,15.50,345,684,2018 Oct 15 2740.00 (SPXW1815V2740),0.03,-9.47, ,0.05,7104,2367
2018 Oct 15 2745.00 (SPXW1815J2745),10.00,-21.00,0.70,10.50,316,205,2018 Oct 15 2745.00 (SPXW1815V2745),0.05,-10.60, ,0.10,5732,878
2018 Oct 15 2750.00 (SPXW1815J2750),1.20,-25.87,0.10,8.90,1686,404,2018 Oct 15 2750.00 (SPXW1815V2750),0.05,-11.55, ,0.10,9111,3488
2018 Oct 15 2755.00 (SPXW1815J2755),0.10,-23.80, ,0.10,1019,243,2018 Oct 15 2755.00 (SPXW1815V2755),3.30,-9.68,1.55,3.40,4947,1002
2018 Oct 15 2760.00 (SPXW1815J2760),0.05,-20.51, ,0.05,3472,812,2018 Oct 15 2760.00 (SPXW1815V2760),7.55,-7.02,6.00,9.00,6225,1612
2018 Oct 15 2765.00 (SPXW1815J2765),0.05,-16.95, ,0.05,5393,463,2018 Oct 15 2765.00 (SPXW1815V2765),12.05,-4.45,9.50,15.00,3026,799
2018 Oct 15 2770.00 (SPXW1815J2770),0.05,-13.85, ,0.05,6882,1253,2018 Oct 15 2770.00 (SPXW1815V2770),15.00,-3.34,14.60,24.30,3025,3440
2018 Oct 15 2775.00 (SPXW1815J2775),0.05,-11.45, ,0.05,12020,958,2018 Oct 15 2775.00 (SPXW1815V2775),16.80,+1.67,19.60,24.00,4835,1779
2018 Oct 15 2780.00 (SPXW1815J2780),0.05,-8.78, ,0.05,13803,1388,2018 Oct 15 2780.00 (SPXW1815V2780),21.15,-1.97,24.60,34.40,873,4082
2018 Oct 15 2785.00 (SPXW1815J2785),0.05,-6.88, ,0.05,10277,573,2018 Oct 15 2785.00 (SPXW1815V2785),30.00,+4.76,29.60,39.40,588,993
