SPX (S&P 500 INDEX),2767.78,-1.00
Oct 19 2018 @ 23:41 ET
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
2018 Oct 19 800.00 (SPX1819J800),2130.03,0.0,0.0,0.0,0,5,2018 Oct 19 800.00 (SPX1819V800),0.0,0.0,0.0,0.0,0,0
2018 Oct 19 800.00 (SPXW1819J800),0.0,0.0,1958.30,1978.40,0,0,2018 Oct 19 800.00 (SPXW1819V800),0.0,0.0, ,0.05,0,0
2018 Oct 19 850.00 (SPX1819J850),2052.70,0.0,0.0,0.0,0,40,2018 Oct 19 850.00 (SPX1819V850),0.0,0.0,0.0,0.0,0,0
2018 Oct 19 850.00 (SPXW1819J850),0.0,0.0,1908.30,1928.40,0,0,2018 Oct 19 850.00 (SPXW1819V850),0.0,0.0, ,0.05,0,0
2018 Oct 19 900.00 (SPX1819J900),0.0,0.0,0.0,0.0,0,0,2018 Oct 19 900.00 (SPX1819V900),0.0,0.0,0.0,0.0,0,0
2018 Oct 19 900.00 (SPXW1819J900),0.0,0.0,1858.30,1878.40,0,0,2018 Oct 19 900.00 (SPXW1819V900),0.0,0.0, ,0.05,0,0
2018 Oct 19 950.00 (SPX1819J950),0.0,0.0,0.0,0.0,0,0,2018 Oct 19 950.00 (SPX1819V950),0.0,0.0,0.0,0.0,0,0
2018 Oct 19 950.00 (SPXW1819J950),0.0,0.0,1808.30,1828.40,0,0,2018 Oct 19 950.00 (SPXW1819V950),0.0,0.0, ,0.05,0,0
2018 Oct 19 1000.00 (SPX1819J1000),1749.00,0.0,0.0,0.0,0,27765,2018 Oct 19 1000.00 (SPX1819V1000),0.05,0.0,0.0,0.0,0,28068
2018 Oct 19 1000.00 (SPXW1819J1000),0.0,0.0,1758.30,1778.40,0,0,2018 Oct 19 1000.00 (SPXW1819V1000),0.05,0.0, ,0.05,0,177
2018 Oct 19 1050.00 (SPX1819J1050),0.0,0.0,0.0,0.0,0,0,2018 Oct 19 1050.00 (SPX1819V1050),0.0,0.0,0.0,0.0,0,0
2018 Oct 19 1050.00 (SPXW1819J1050),0.0,0.0,1708.30,1728.40,0,0,2018 Oct 19 1050.00 (SPXW1819V1050),0.0,0.0, ,0.05,0,0
