SPX (S&P 500 INDEX),2809.21,-0.71
Oct 17 2018 @ 19:59 ET
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
2018 Oct 17 1700.00 (SPXW1817J1700),0.0,0.0,1098.20,1121.30,0,0,2018 Oct 17 1700.00 (SPXW1817V1700),0.0,0.0, ,0.05,0,0
2018 Oct 17 1800.00 (SPXW1817J1800),0.0,0.0,998.20,1021.30,0,0,2018 Oct 17 1800.00 (SPXW1817V1800),0.05,0.0, ,0.05,0,371
2018 Oct 17 1850.00 (SPXW1817J1850),0.0,0.0,948.20,971.30,0,0,2018 Oct 17 1850.00 (SPXW1817V1850),0.0,0.0, ,0.05,0,0
2018 Oct 17 1900.00 (SPXW1817J1900),989.68,0.0,898.20,921.30,0,9,2018 Oct 17 1900.00 (SPXW1817V1900),0.25,0.0, ,0.05,0,332
2018 Oct 17 1950.00 (SPXW1817J1950),0.0,0.0,848.20,871.30,0,0,2018 Oct 17 1950.00 (SPXW1817V1950),0.30,0.0, ,0.05,0,136
2018 Oct 17 2000.00 (SPXW1817J2000),759.10,0.0,798.20,821.30,0,2,2018 Oct 17 2000.00 (SPXW1817V2000),0.05,0.0, ,0.05,0,54
2018 Oct 17 2050.00 (SPXW1817J2050),0.0,0.0,748.20,771.30,0,0,2018 Oct 17 2050.00 (SPXW1817V2050),0.10,0.0, ,0.05,0,129
2018 Oct 17 2100.00 (SPXW1817J2100),0.0,0.0,698.20,721.30,0,0,2018 Oct 17 2100.00 (SPXW1817V2100),0.05,0.0, ,0.05,0,92
2018 Oct 17 2150.00 (SPXW1817J2150),0.0,0.0,648.20,671.50,0,0,2018 Oct 17 2150.00 (SPXW1817V2150),0.05,0.0, ,0.05,0,335
2018 Oct 17 2200.00 (SPXW1817J2200),0.0,0.0,598.20,621.30,0,0,2018 Oct 17 2200.00 (SPXW1817V2200),0.10,0.0, ,0.05,0,717
2018 Oct 17 2225.00 (SPXW1817J2225),0.0,0.0,573.20,596.30,0,0,2018 Oct 17 2225.00 (SPXW1817V2225),0.05,0.0, ,0.05,0,63
2018 Oct 17 2250.00 (SPXW1817J2250),0.0,0.0,548.20,571.30,0,0,2018 Oct 17 2250.00 (SPXW1817V2250),0.05,0.0, ,0.05,0,1705
2018 Oct 17 2275.00 (SPXW1817J2275),0.0,0.0,523.20,546.30,0,0,2018 Oct 17 2275.00 (SPXW1817V2275),0.05,0.0, ,0.05,0,1098
2018 Oct 17 2300.00 (SPXW1817J2300),0.0,0.0,498.20,521.30,0,0,2018 Oct 17 2300.00 (SPXW1817V2300),0.10,0.0, ,0.05,0,2406
2018 Oct 17 2320.00 (SPXW1817J2320),0.0,0.0,478.20,501.30,0,0,2018 Oct 17 2320.00 (SPXW1817V2320),0.10,0.0, ,0.05,0,597
2018 Oct 17 2325.00 (SPXW1817J2325),0.0,0.0,473.20,496.30,0,0,2018 Oct 17 2325.00 (SPXW1817V2325),0.10,0.0, ,0.05,0,222
2018 Oct 17 2330.00 (SPXW1817J2330),0.0,0.0,468.20,491.30,0,0,2018 Oct 17 2330.00 (SPXW1817V2330),0.10,0.0, ,0.05,0,80
2018 Oct 17 2340.00 (SPXW1817J2340),0.0,0.0,458.20,481.30,0,0,2018 Oct 17 2340.00 (SPXW1817V2340),0.15,0.0, ,0.05,0,120
2018 Oct 17 2350.00 (SPXW1817J2350),0.0,0.0,448.20,471.30,0,0,2018 Oct 17 2350.00 (SPXW1817V2350),0.15,0.0, ,0.05,0,483
2018 Oct 17 2360.00 (SPXW1817J2360),0.0,0.0,438.20,461.30,0,0,2018 Oct 17 2360.00 (SPXW1817V2360),0.15,0.0, ,0.05,0,763
2018 Oct 17 2370.00 (SPXW1817J2370),0.0,0.0,428.20,451.30,0,0,2018 Oct 17 2370.00 (SPXW1817V2370),0.15,0.0, ,0.05,0,1054
2018 Oct 17 2375.00 (SPXW1817J2375),0.0,0.0,423.20,446.30,0,0,2018 Oct 17 2375.00 (SPXW1817V2375),0.15,0.0, ,0.05,0,631
2018 Oct 17 2380.00 (SPXW1817J2380),0.0,0.0,418.20,441.30,0,0,2018 Oct 17 2380.00 (SPXW1817V2380),0.15,0.0, ,0.05,0,1668
2018 Oct 17 2390.00 (SPXW1817J2390),0.0,0.0,408.20,431.50,0,0,2018 Oct 17 2390.00 (SPXW1817V2390),0.15,0.0, ,0.05,0,1115
2018 Oct 17 2400.00 (SPXW1817J2400),0.0,0.0,398.20,421.30,0,0,2018 Oct 17 2400.00 (SPXW1817V2400),0.05,0.0, ,0.05,0,7184
2018 Oct 17 2410.00 (SPXW1817J2410),0.0,0.0,388.20,411.30,0,0,2018 Oct 17 2410.00 (SPXW1817V2410),0.15,0.0, ,0.05,0,306
2018 Oct 17 2420.00 (SPXW1817J2420),0.0,0.0,378.20,401.30,0,0,2018 Oct 17 2420.00 (SPXW1817V2420),0.15,0.0, ,0.05,0,623
2018 Oct 17 2425.00 (SPXW1817J2425),0.0,0.0,373.20,396.30,0,0,2018 Oct 17 2425.00 (SPXW1817V2425),0.15,0.0, ,0.05,0,416
2018 Oct 17 2430.00 (SPXW1817J2430),0.0,0.0,368.20,391.50,0,0,2018 Oct 17 2430.00 (SPXW1817V2430),0.15,0.0, ,0.05,0,375
2018 Oct 17 2440.00 (SPXW1817J2440),0.0,0.0,358.20,381.50,0,0,2018 Oct 17 2440.00 (SPXW1817V2440),0.15,0.0, ,0.05,0,728
2018 Oct 17 2450.00 (SPXW1817J2450),0.0,0.0,348.20,371.30,0,0,2018 Oct 17 2450.00 (SPXW1817V2450),0.05,0.0, ,0.05,0,2271
2018 Oct 17 2460.00 (SPXW1817J2460),0.0,0.0,338.20,361.30,0,0,2018 Oct 17 2460.00 (SPXW1817V2460),0.20,0.0, ,0.05,0,1082
2018 Oct 17 2465.00 (SPXW1817J2465),294.30,0.0,333.20,356.30,0,2,2018 Oct 17 2465.00 (SPXW1817V2465),0.25,0.0, ,0.05,0,333
2018 Oct 17 2470.00 (SPXW1817J2470),0.0,0.0,328.20,351.50,0,0,2018 Oct 17 2470.00 (SPXW1817V2470),0.26,0.0, ,0.05,0,4112
2018 Oct 17 2475.00 (SPXW1817J2475),0.0,0.0,323.20,346.30,0,0,2018 Oct 17 2475.00 (SPXW1817V2475),0.02,0.0, ,0.05,0,2489
2018 Oct 17 2480.00 (SPXW1817J2480),0.0,0.0,318.20,341.30,0,0,2018 Oct 17 2480.00 (SPXW1817V2480),0.05,0.0, ,0.05,0,1696
2018 Oct 17 2485.00 (SPXW1817J2485),0.0,0.0,313.20,336.30,0,0,2018 Oct 17 2485.00 (SPXW1817V2485),0.35,0.0, ,0.05,0,210
2018 Oct 17 2490.00 (SPXW1817J2490),0.0,0.0,308.20,331.30,0,0,2018 Oct 17 2490.00 (SPXW1817V2490),0.05,0.0, ,0.05,0,2209
